CfgFile,cloudapp,DataSourceName
teleopticcc-demo,teleopticcc-demo,teleopticcc-demo
teleopticcc-dev,teleopticcc-dev,teleopticcc-dev
teleopticcc-test,teleopticcc-test,teleopticcc-test
teleopticcc-demoasia,TeleoptiCCCDemoAsia,teleopticcc-demoasia
teleopticcc-demohk,teleopticccdemohk,teleopticcc-demohk
teleopticcc-demosouthcus,teleopticccdemosouthcus,teleopticcc-demosouthcus
teleoptiwfmdemojapeast,teleoptiwfmdemojapeast,wfmjpst
amstudentassistance,amstudentassistance,amstudentassistance
APL,APL,APL
bkk,bkk,bkk
citymain,citymain,citymain
coopbank-dk,teleopticoopdk,coopbank-dk
EightxEight,eightxeight,EightxEight
Forsakringskassan,forsakringskassan,Forsakringskassan
goexcellent,goexcellent,goexcellent
Linetech,linetech,Linetech
lorealcanada,lorealcanada,lorealcanada
ProNet,pronet,ProNet
responda,responda,responda
ScicomMalaysia,ScicomMalaysia,ScicomMalaysia
StudioModerna,studiomoderna,StudioModerna
wwc,weight-watchers-canada,wwc
